"section_id","user_id","down_vote"
1612,538,1
38405,5943,1
73713,488,1
82248,515,1
82499,5954,1
11348,5796,1
1744,5946,1
56964,419,1
16245,509,1
74417,5970,1
2025,419,1
13145,5248,1
1601,6410,1
1557,5025,1
1609,5498,1
32429,5498,1
82646,5193,1
2230,6410,1
67438,798,1
2077,464,1
481,70787,1
1570,5289,1
1556,6471,1
60154,5193,1
2019,70787,1
1566,70650,1
33883,5422,1
3594,70971,1
86417,798,1
32435,5070,1
15520,5954,1
330,5535,1
33890,5070,1
77328,5609,1
2075,3558,1
74853,1104,1
52614,1104,1
33888,1104,1
32430,6321,1
1747,5248,1
1782,6321,1
13144,3806,1
1642,5248,1
526,6501,1
2063,1047,1
79704,6505,1
80856,3806,1
83167,6321,1
52615,1321,1
2106,1321,1
77197,586,1
28799,6321,1
1536,5818,1
2024,5902,1
60380,5008,1
1901,5902,1
77271,5239,1
33889,1017,1
52782,5971,1
1901,5239,1
80368,538,1
10495,5680,1
2230,5992,1
1789,6346,1
74518,6471,1
41528,5818,1
1884,5612,1
307,5313,1
550,6340,1
90796,502,1
1751,5818,1
2092,2963,1
11368,5239,1
2085,5298,1
559,6411,1
3833,5334,1
46424,5151,1
35839,5519,1
84217,5902,1
9955,5334,1
78396,5334,1
73616,5954,1
13456,5946,1
77602,5694,1
82248,6411,1
51896,5703,1
1606,2703,1
2705,5298,1
31487,5819,1
1900,1104,1
1589,5446,1
9958,5636,1
1743,4972,1
77722,1104,1
552,5971,1
46427,5612,1
1773,5210,1
9954,5939,1
32441,4972,1
1592,3331,1
52609,5796,1
2093,5334,1
14401,5298,1
46790,5819,1
51264,5621,1
81140,5298,1
326,5694,1
46430,2777,1
80729,6416,1
1821,5805,1
3592,6348,1
67434,5805,1
1808,5805,1
1620,586,1
1745,2777,1
